Fatal,Injured,LightingCondition,RoadSurface,latitude,longitude
0,1,Daylight,Dry,37.7674538,-122.4288923
0,1,Daylight,Dry,37.7904395,-122.3999611
0,1,Daylight,Wet,37.7657823,-122.4075633
0,2,Dark - street lights,Dry,37.773084,-122.4220088
0,1,Dark - street lights,Dry,37.7752728,-122.4660197
0,1,Dark - street lights,Dry,37.77605020000001,-122.4295344
0,1,Daylight,Dry,37.769418,-122.4298506
0,1,Daylight,Dry,37.7211553,-122.4374685
0,1,Daylight,Dry,37.760489,-122.4100074
0,1,Dark - street lights,Dry,37.7982806,-122.4015495
0,1,Daylight,Dry,37.7883284,-122.4083874
0,1,Dark - street lights,Dry,37.7840284,-122.4080265
0,1,Daylight,Dry,37.7621131,-122.4284193
0,1,Daylight,Dry,37.7815217,-122.4048923
0,1,Daylight,Dry,37.76955969999999,-122.4155764
0,1,Dark - street lights,Dry,37.7873448,-122.4199918
0,1,Dark - street lights,Dry,37.7784289,-122.408783
0,1,Daylight,Dry,37.7481763,-122.4202718
0,1,Dusk - dawn,Dry,37.8059266,-122.4187339
0,1,Daylight,Dry,37.7859468,-122.419701
0,1,Daylight,Dry,37.7787499,-122.4147239
0,1,Daylight,Dry,37.74103789999999,-122.4228308
0,1,Daylight,Dry,37.78114559999999,-122.4632224
0,1,Daylight,Dry,37.7824873,-122.4016495
0,1,Dark - street lights,Dry,37.7616996,-122.4215856
0,1,Daylight,Dry,37.7483682,-122.4181484
0,2,Daylight,Dry,37.7508093,-122.415572
0,1,Dark - street lights,Dry,37.738853,-122.486141
0,1,Dark - street lights,Dry,37.7822097,-122.4189391
0,1,Dark - street lights,Wet,37.777228,-122.4640135
0,1,Dark - street lights,Wet,37.7832886,-122.4026768
0,1,Dark - street lights,Wet,37.7843612,-122.4244577
0,0,Daylight,Dry,37.7406608,-122.4238627
0,1,Dark - street lights,Dry,37.79532,-122.4267381
0,1,Daylight,Dry,37.782144,-122.447573
0,1,Daylight,Dry,37.78073060000001,-122.4303488
0,1,Daylight,Dry,37.77024979999999,-122.4300448
0,1,Dusk - dawn,Dry,37.773084,-122.4220088
0,1,Daylight,Dry,37.7832886,-122.4026768
0,1,Daylight,Dry,37.8062265,-122.4238517
0,1,Dark - street lights,Dry,37.790644,-122.420669
0,1,Daylight,Dry,37.79849240000001,-122.43576
0,1,Dark - street lights,Dry,37.7815484,-122.4239256
0,1,Daylight,Dry,37.78579920000001,-122.484058
0,1,Daylight,Dry,37.765183,-122.417487
0,1,Daylight,Dry,37.7798229,-122.4150943
0,1,Daylight,Dry,37.780519,-122.412491
0,2,Daylight,Dry,37.7828054,-122.4676389
0,1,Daylight,Dry,37.7382854,-122.4990133
0,1,Dark - street lights,Dry,37.7654522,-122.4131332
0,1,Dark - no street lights,Wet,37.8017088,-122.4145247
0,1,Daylight,Dry,37.7461024,-122.3872835
0,1,Daylight,Dry,37.7716002,-122.4112596
0,2,Daylight,Dry,37.7888127,-122.4019875
0,1,Daylight,Wet,37.7977158,-122.4305269
0,1,Dark - street lights,Dry,37.7649061,-122.4218982
0,1,Daylight,Wet,37.7808362,-122.3995675
0,1,Dark - street lights,Dry,37.7654522,-122.4131332
0,1,Dark - street lights,Wet,37.7632962,-122.421752
0,1,Daylight,Dry,37.7732145,-122.4442002
0,1,Daylight,Dry,37.7634263,-122.4195461
0,1,Daylight,Dry,37.7786376,-122.4470475
0,1,Dark - street lights,Wet,37.7805673,-122.4081246
0,1,Dark - street lights,Dry,37.7703661,-122.4097209
0,1,Dark - street lights,Dry,37.7938542,-122.4029289
0,1,Dark - street lights,Wet,37.7709333,-122.4550429
0,2,Daylight,Dry,37.7538452,-122.4185982
0,1,Daylight,Dry,37.7659253,-122.4675217
0,1,Daylight,Dry,37.7657931,-122.4499581
0,1,Daylight,Dry,37.7810499,-122.4204812
0,1,Dark - street lights,Dry,37.772424,-122.435558
0,1,Daylight,Dry,37.752629,-122.4119
0,1,Daylight,Wet,37.7766879,-122.4121317
0,1,Daylight,Dry,37.7834617,-122.3962554
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.775012,-122.4100517
0,0,Daylight,Dry,37.7763229,-122.4039309
0,1,Daylight,Dry,37.7908281,-122.4475152
0,1,Daylight,Dry,37.782866,-122.4665744
0,1,Dark - street lights,Dry,37.7697455,-122.4245719
0,1,Daylight,Dry,37.7700827,-122.4069588
0,1,Dark - street lights,Dry,37.8014057,-122.4093955
0,1,Daylight,Dry,37.7892875,-122.4013759
0,1,Daylight,Dry,37.772204,-122.4372752
0,1,Daylight,Dry,37.7660088,-122.4307273
0,1,Dark - street lights,Dry,37.7733533,-122.4357496
0,1,Dark - street lights,Dry,37.7249988,-122.4611913
0,1,Daylight,Dry,37.7614951,-122.4250997
0,1,Daylight,Dry,37.7618303,-122.3876752
0,1,Dark - street lights,Dry,37.7843238,-122.4396334
0,1,Dark - street lights,Dry,37.7701069,-122.4537263
0,1,Daylight,Dry,37.771487,-122.4353672
0,1,Daylight,Dry,37.7757817,-122.4165259
0,1,Daylight,Dry,37.8069202,-122.4750308
0,1,Daylight,Dry,37.7603665,-122.417029
0,0,Daylight,Dry,37.773084,-122.4220088
0,1,Daylight,Dry,37.7918601,-122.3950128
0,1,Daylight,Dry,37.7915274,-122.4208795
0,1,Daylight,Dry,37.7809496,-122.464278
0,1,Daylight,Dry,37.7753174,-122.4158955
0,1,Daylight,Dry,37.7782189,-122.4350443
0,0,Daylight,Dry,37.7969189,-122.4068803
0,1,Daylight,Dry,37.77368750000001,-122.4212573
0,1,Daylight,Dry,37.7211541,-122.3983399
0,1,Daylight,Wet,37.794274,-122.4030223
0,1,Daylight,Dry,37.7729273,-122.4390897
0,1,Daylight,Dry,37.76844730000001,-122.4516847
0,1,Dark - street lights,Dry,37.778729,-122.4721161
0,1,Dark - street lights,Dry,37.7892676,-122.4085829
0,1,Daylight,Dry,37.8052397,-122.4172667
0,1,Daylight,Dry,37.7691791,-122.4535465
0,1,Daylight,Dry,37.7958837,-122.4082244
0,1,Dark - street lights,Dry,37.8027643,-122.4137428
0,1,Dusk - dawn,Dry,37.7993944,-122.3975296
0,1,Dark - street lights,Dry,37.74229589999999,-122.4928357
0,1,Daylight,Dry,37.7430565,-122.4755984
0,1,Dark - street lights,Dry,37.7894474,-122.4221872
0,1,Daylight,Dry,37.8069202,-122.4750308
0,1,Daylight,Dry,37.7802964,-122.4033634
0,1,Daylight,Dry,37.7796485,-122.4933022
0,1,Daylight,Dry,37.7802017,-122.3910494
0,1,Daylight,Dry,37.77948749999999,-122.4023551
0,1,Daylight,Dry,37.7603665,-122.417029
0,1,Daylight,Dry,37.787856,-122.44211
0,0,Daylight,Dry,37.7809993,-122.408667
0,1,Daylight,Dry,37.7515491,-122.4951803
0,1,Daylight,Dry,37.7587728,-122.4168824
0,1,Daylight,Dry,37.7894253,-122.3970158
0,1,Daylight,Dry,37.7876149,-122.4065812
0,1,Daylight,Dry,37.7364245,-122.3902036
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7685411,-122.4156536
0,1,Daylight,Dry,37.7524332,-122.4151766
0,1,Daylight,Dry,37.7705053,-122.4798826
0,1,Daylight,Dry,37.7680117,-122.4244044
0,1,Daylight,Dry,37.7605001,-122.414854
0,2,Daylight,Dry,37.7616996,-122.4215856
0,1,Dark - street lights,Dry,37.7720926,-122.445722
0,1,Daylight,Dry,37.778214,-122.483525
0,1,Daylight,Dry,37.7774362,-122.4486893
0,1,Daylight,Dry,37.76179279999999,-122.4201176
0,1,Daylight,Dry,37.7527948,-122.4091354
0,1,Daylight,Dry,37.7395905,-122.4070669
0,1,Daylight,Dry,37.7749295,-122.4194155
0,2,Daylight,Dry,37.7797645,-122.4071059
0,1,Daylight,Dry,37.7582741,-122.4437999
0,1,Daylight,Dry,37.7649061,-122.4218982
0,1,Daylight,Dry,37.7710108,-122.4761681
0,1,Daylight,Dry,37.780629,-122.4237602
0,1,Daylight,Dry,37.7873278,-122.3944491
0,1,Daylight,Dry,37.8053499,-122.4236702
0,1,Daylight,Dry,37.7854867,-122.4061965
0,1,Daylight,Dry,37.752992,-122.406342
0,1,Daylight,Dry,37.7899721,-122.3942479
0,1,Dark - street lights,Dry,37.7959187,-122.4217837
0,1,Daylight,Dry,37.7839698,-122.4126179
0,1,Daylight,Dry,37.7141001,-122.4522554
0,1,Dark - street lights,Dry,37.772204,-122.4372752
0,1,Daylight,Dry,37.8058106,-122.4422274
0,1,Daylight,Dry,37.7857218,-122.4058947
0,1,Daylight,Dry,37.7590215,-122.4259512
0,1,Daylight,Dry,37.7545666,-122.4065016
0,1,Daylight,Dry,37.7524332,-122.4151766
0,1,Daylight,Dry,37.793527,-122.396797
0,1,Dusk - dawn,Dry,37.7696115,-122.4133281
0,1,Daylight,Dry,37.710092,-122.4245506
0,1,Daylight,Dry,37.75940689999999,-122.486512
0,1,Daylight,Dry,37.770929,-122.4149859
0,1,Daylight,,37.764304,-122.4330863
0,0,Dark - street lights,Dry,37.7482566,-122.411481
0,1,Dark - street lights,Dry,37.773562,-122.4341048
0,1,Daylight,Dry,37.777374,-122.4230551
0,1,Daylight,Dry,37.7729898,-122.4458971
0,1,Dark - street lights,Dry,37.7982193,-122.4072018
0,1,Daylight,Dry,37.7828166,-122.4141266
0,1,Daylight,Dry,37.765183,-122.417487
0,1,Daylight,Dry,37.7617696,-122.4769786
0,1,Daylight,Dry,37.7854037,-122.4162956
0,1,Dark - street lights,Dry,37.7746147,-122.4259347
0,1,Dark - street lights,Dry,37.7719083,-122.4320748
0,1,Daylight,Dry,37.7482662,-122.4158867
0,1,Daylight,Dry,37.7224608,-122.4364836
0,1,Daylight,Dry,37.7729898,-122.4458971
0,1,Daylight,Dry,37.7680117,-122.4244044
0,1,Daylight,Dry,37.8056477,-122.4136616
0,1,Daylight,Dry,37.7837335,-122.4143048
0,1,Daylight,Dry,37.7785281,-122.4055874
0,1,Daylight,Dry,37.6897429,-122.4658499
0,1,Daylight,Dry,37.78417450000001,-122.4786118
0,1,Daylight,Dry,37.7656916,-122.472933
0,1,Daylight,Dry,37.7749729,-122.472447
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Dark - street lights,Dry,37.7590319,-122.4125147
0,1,Daylight,Dry,37.773084,-122.4220088
0,1,Dark - street lights,Dry,37.75689879999999,-122.4211319
0,1,Daylight,Dry,37.7456268,-122.419862
0,1,Daylight,Dry,37.7987074,-122.407925
0,1,Daylight,Dry,37.76787789999999,-122.4267805
0,1,Daylight,Dry,37.9095522,-122.0883876
0,1,Daylight,Dry,37.7745823,-122.4094957
0,1,Daylight,Dry,37.7772694,-122.4585952
0,1,Dusk - dawn,Dry,37.7840284,-122.4080265
0,1,Dark - street lights,Dry,37.773084,-122.4220088
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.765183,-122.417487
0,1,Daylight,Dry,37.7451379,-122.413406
0,1,Daylight,Dry,37.7236675,-122.4375325
0,1,Daylight,Dry,37.7801107,-122.3942717
0,1,Daylight,Dry,37.7756122,-122.4584747
0,1,Dark - street lights,Dry,37.7985907,-122.4010735
0,1,Dark - street lights,Dry,37.7854037,-122.4162956
0,1,Daylight,Dry,37.7832886,-122.4026768
0,0,Daylight,Dry,37.782385,-122.4173658
0,1,Daylight,Dry,37.7664112,-122.424319
0,1,Daylight,Dry,37.8073692,-122.4073666
0,1,Dark - street lights,Dry,37.7842502,-122.417764
0,1,Dusk - dawn,Dry,37.7624629,-122.398461
0,1,Daylight,Dry,37.7832462,-122.4090403
0,1,Daylight,Dry,37.7821501,-122.4341661
0,1,Daylight,Dry,37.7753674,-122.3972015
0,1,Daylight,Dry,37.7859468,-122.419701
0,1,Daylight,Dry,37.7775356,-122.4179955
0,1,Daylight,Dry,37.7826178,-122.4156499
0,2,Daylight,Dry,37.7608915,-122.4349914
0,0,Daylight,Dry,37.7840284,-122.4080265
0,1,Daylight,Dry,37.7696115,-122.4133281
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7697121,-122.4178256
0,1,Daylight,Dry,37.7752462,-122.4584421
0,2,Dark - street lights,Dry,37.7850051,-122.4195078
0,0,Daylight,Dry,37.7768707,-122.4381249
0,1,Daylight,Dry,37.7818699,-122.3920509
0,1,Daylight,Dry,37.778729,-122.4721161
0,1,Daylight,Dry,37.7431247,-122.4214908
0,1,Daylight,Dry,37.7842128,-122.4345669
0,1,Daylight,Dry,37.8054171,-122.4153176
0,1,Daylight,Dry,37.7923914,-122.4210876
0,1,Dark - street lights,Dry,37.7249671,-122.4431452
1,0,Daylight,Dry,37.7501856,-122.3904564
0,2,Daylight,Dry,37.7958837,-122.4082244
0,1,Daylight,Dry,37.7252423,-122.4026114
0,1,Dark - street lights not functioning,Dry,37.7632962,-122.421752
0,1,Dark - street lights,Dry,37.7978825,-122.4067348
0,1,Daylight,Dry,37.7647778,-122.4241632
0,1,Daylight,Dry,37.7392308,-122.3918409
0,1,Daylight,Dry,37.7787499,-122.4147239
0,1,Daylight,Dry,37.7855411,-122.4603149
0,1,Dark - street lights,Dry,37.7811447,-122.4272124
0,1,Daylight,Dry,37.7821,-122.4121502
0,1,Daylight,Dry,37.7780454,-122.421484
0,2,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7691084,-122.4348843
0,1,Daylight,Dry,37.7640523,-122.46632
0,1,Dark - street lights,Dry,37.75256820000001,-122.4130138
0,0,Dark - street lights,Dry,37.7627184,-122.4351786
0,1,Daylight,Dry,37.7621353,-122.4661777
0,1,Dark - street lights,Dry,37.7763748,-122.3941917
0,1,Daylight,Dry,37.77154489999999,-122.4237762
0,1,Daylight,Dry,37.7777109,-122.4543353
0,1,Dusk - dawn,Dry,37.7950311,-122.4216028
0,1,Daylight,Dry,37.7791925,-122.462002
0,2,Daylight,Dry,37.7664409,-122.464375
0,1,Daylight,Dry,37.7751693,-122.4036099
0,1,Daylight,Dry,37.7724353,-122.4226112
0,1,Daylight,Dry,37.771487,-122.4353672
0,1,Daylight,Dry,37.7721283,-122.4304283
0,1,Daylight,Dry,37.7264374,-122.4184183
0,1,Daylight,Dry,37.7764647,-122.4262985
0,1,Daylight,Dry,37.7482566,-122.411481
0,1,Daylight,Dry,37.7868766,-122.4012189
0,1,Daylight,Dry,37.7908558,-122.4190188
0,1,Daylight,Dry,37.768421,-122.4178024
0,1,Daylight,Dry,37.7739349,-122.446103
0,1,Daylight,Dry,37.775296,-122.4191988
0,1,Daylight,Dry,37.724592,-122.442327
0,1,Daylight,Dry,37.790964,-122.4023974
0,1,Dark - street lights,Dry,37.77263689999999,-122.4339101
0,1,Daylight,Dry,37.7800254,-122.4846989
0,1,Daylight,Dry,37.773084,-122.4220088
0,1,Daylight,Dry,37.7746147,-122.4259347
0,1,Daylight,Dry,37.8027737,-122.4367945
0,1,Dark - street lights,Dry,37.7739245,-122.4238072
0,1,Daylight,Dry,37.7355697,-122.506818
0,1,Daylight,Dry,37.7550911,-122.4243076
0,1,Dark - street lights,Dry,37.790644,-122.420669
0,1,Daylight,Dry,37.7842128,-122.4345669
0,1,Daylight,Dry,37.7422206,-122.4945183
0,1,Dark - street lights,Dry,37.7802632,-122.482614
0,1,Daylight,Dry,37.7723613,-122.4134103
0,1,Dark - street lights,Wet,37.7843238,-122.4396334
0,1,Daylight,Dry,37.7654522,-122.4131332
0,0,Daylight,Dry,37.7645087,-122.4286526
0,1,Daylight,Dry,37.7762416,-122.4147016
0,1,Daylight,Dry,37.7521725,-122.4195658
0,1,Daylight,Dry,37.76966669999999,-122.449646
0,1,Daylight,Dry,37.789853,-122.4038865
0,1,Dark - street lights,Dry,37.4896898,-122.2986975
0,1,Daylight,Dry,37.7680117,-122.4244044
0,1,Dark - street lights,Dry,37.7510362,-122.411769
0,2,Daylight,Dry,37.7883284,-122.4083874
0,1,Daylight,Dry,37.7766013,-122.3987436
0,1,Daylight,Dry,37.7638559,-122.4706072
0,1,Daylight,Dry,37.772424,-122.435558
0,1,Daylight,Dry,37.7712867,-122.4369923
0,1,Daylight,Dry,37.7829122,-122.4208511
0,1,Daylight,Dry,37.76760000000001,-122.4311689
0,1,Daylight,Dry,37.7775,-122.4332268
0,1,Dusk - dawn,Dry,37.787047,-122.4183632
0,1,Daylight,Dry,37.7686778,-122.4290036
0,0,Dark - no street lights,Wet,37.7749295,-122.4194155
0,1,Dark - street lights,Dry,37.7771137,-122.3949497
0,1,Daylight,Dry,37.7742809,-122.404748
0,1,Daylight,Dry,37.7649061,-122.4218982
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,,,37.7698864,-122.422401
0,1,Dark - no street lights,Wet,37.7718739,-122.417872
0,1,Daylight,Dry,37.7753674,-122.3972015
0,1,Dark - street lights,Dry,37.7720926,-122.445722
0,1,Daylight,Dry,37.767142,-122.406677
0,1,Daylight,Dry,37.7801814,-122.447319
0,1,Daylight,Wet,37.8024873,-122.4231045
0,1,Daylight,Dry,37.7733533,-122.4357496
0,1,Dark - street lights,Dry,37.7908385,-122.3994555
0,1,Daylight,Slippery (muddyy, oily, etc.),37.7736804,-122.4257366
0,1,Dusk - dawn,Dry,37.7857218,-122.4058947
0,1,Dark - no street lights,Dry,37.7912164,-122.4007711
0,1,Dark - street lights,Dry,37.7114416,-122.4463815
0,1,Daylight,Dry,37.7761782,-122.458512
0,1,Daylight,Dry,37.7660088,-122.4307273
0,1,Dark - street lights,Wet,37.7694708,-122.4290871
0,1,Daylight,Dry,37.7784463,-122.4098875
0,1,Daylight,Dry,37.7821612,-122.4416307
0,1,Dark - street lights,Dry,37.7271669,-122.46669
0,1,Dark - street lights,Dry,37.772204,-122.4372752
0,1,Daylight,Dry,37.7841725,-122.4109793
0,1,Daylight,Dry,37.771833,-122.4016282
0,1,Dark - street lights,Dry,37.7842502,-122.417764
0,1,Dark - street lights,Dry,37.7642783,-122.4609616
0,1,Dark - street lights,Dry,37.7666063,-122.3951209
0,1,Dark - street lights,Dry,37.790644,-122.420669
0,1,Dark - street lights,Dry,37.7149215,-122.4560798
0,1,Daylight,Dry,37.7459105,-122.4508015
0,1,Daylight,Dry,37.7797784,-122.4303047
0,1,Dark - street lights,Dry,37.7728153,-122.4788497
0,1,Dark - street lights,Dry,37.7820516,-122.4011305
0,1,Dark - street lights,Wet,37.7824538,-122.4393469
0,2,Dark - street lights,Dry,37.7680261,-122.4670047
0,1,Dark - street lights,Dry,37.7796686,-122.4386884
0,1,Dark - street lights,Wet,37.7790595,-122.4018195
0,1,Daylight,Dry,37.766903,-122.41061
0,1,Daylight,Dry,37.7876818,-122.403397
1,0,Dark - street lights,Dry,37.7236161,-122.4007852
0,1,Dark - street lights,Wet,37.7746332,-122.4800568
0,1,Daylight,Dry,37.7955487,-122.3967947
0,1,Daylight,Dry,37.7513622,-122.4062347
0,1,Dark - street lights,Wet,37.7959187,-122.4217837
0,1,Daylight,Wet,37.7106708,-122.4313872
0,1,Daylight,Dry,37.7774858,-122.4995981
0,1,Daylight,Dry,37.7699368,-122.4210068
0,1,Daylight,Dry,37.7641132,-122.5094287
0,1,Daylight,Dry,37.775296,-122.4191988
0,2,Daylight,Dry,37.7974883,-122.410326
0,1,Daylight,Dry,37.7756074,-122.4480672
0,1,Dark - street lights,Wet,37.7698864,-122.422401
0,1,Dark - street lights,Wet,37.7161557,-122.4503432
0,1,Daylight,Dry,37.7246942,-122.4347865
0,0,Daylight,Dry,37.7767714,-122.4078245
0,1,Dark - street lights,Wet,37.7536939,-122.4208356
0,1,Daylight,Wet,37.7693194,-122.4312517
0,1,,,37.7812755,-122.4187743
0,1,Dark - street lights,Wet,37.7717936,-122.4236635
0,1,Dark - street lights,Dry,37.7815484,-122.4239256
0,1,Dusk - dawn,Dry,37.7685411,-122.4156536
0,1,Dark - street lights,Dry,37.8032956,-122.4316836
0,1,Daylight,Dry,37.7775989,-122.455217
0,1,Dark - street lights,Dry,37.771887,-122.414022
0,1,Dark - street lights,Dry,37.7552793,-122.4214569
0,0,Daylight,Dry,37.712122,-122.4334303
0,1,Dusk - dawn,Dry,37.7642404,-122.4329683
0,1,Daylight,Dry,37.771833,-122.4016282
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7797081,-122.4235269
0,1,Dark - street lights,Dry,37.7794764,-122.5018919
1,1,Dusk - dawn,Dry,37.7733533,-122.4357496
0,1,Dark - street lights,Dry,37.7854682,-122.4195957
0,1,Daylight,Dry,37.771833,-122.4016282
0,1,Daylight,Dry,37.760097,-122.421435
0,1,Daylight,Wet,37.7160535,-122.4445299
0,1,Daylight,Dry,37.7997663,-122.4445137
0,1,Daylight,Dry,37.7513622,-122.4062347
0,1,Daylight,Dry,37.7157597,-122.4415633
0,1,Daylight,Wet,37.7662507,-122.460352
0,1,Dark - street lights,Wet,37.7819767,-122.4206347
0,1,Daylight,Wet,37.7797784,-122.4303047
0,1,Daylight,Dry,37.7773247,-122.4196097
1,0,Dark - street lights,Dry,37.7859468,-122.419701
0,1,Daylight,Dry,37.7767401,-122.4033374
0,1,Dark - street lights,Dry,37.7896444,-122.4054392
0,1,Dark - street lights,Dry,37.7285275,-122.4286912
0,2,Dark - street lights,Dry,37.7773902,-122.4568556
0,1,Daylight,Dry,37.778754,-122.4716589
0,1,Daylight,Dry,37.7990874,-122.3980725
0,1,Daylight,Wet,37.7888127,-122.4019875
0,1,Daylight,Dry,37.77478809999999,-122.4009995
0,1,Daylight,Dry,37.7892676,-122.4085829
0,1,Daylight,Dry,37.7650501,-122.4196959
0,1,Daylight,Dry,37.7910818,-122.3991591
0,1,Daylight,Dry,37.7731406,-122.4717096
0,1,Daylight,Dry,37.7649061,-122.4218982
0,1,Daylight,Dry,37.7876818,-122.403397
0,1,Daylight,Dry,37.733286,-122.4657717
0,1,Dark - street lights,Dry,37.7886579,-122.4135036
0,1,Daylight,Wet,37.7822097,-122.4189391
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7752462,-122.4584421
0,1,Daylight,Wet,37.7780454,-122.421484
0,1,Daylight,Dry,37.7875741,-122.4218061
0,1,Daylight,Dry,37.7617019,-122.4759388
0,1,Dark - street lights,Wet,37.7895615,-122.4137848
0,1,Daylight,Dry,37.7617604,-122.410138
0,1,Daylight,Wet,37.764638,-122.4264921
0,1,Dark - street lights,Dry,37.7792416,-122.4108893
0,1,Daylight,Dry,37.7862266,-122.4019649
0,1,Daylight,Dry,37.74726,-122.403636
0,1,Dusk - dawn,Wet,37.76356699999999,-122.4173459
0,1,Daylight,Dry,37.7443859,-122.3958793
0,1,Daylight,Dry,37.7398192,-122.4240629
0,1,Daylight,Dry,37.7731433,-122.4373674
0,1,Dark - street lights,Dry,37.7774809,-122.4131087
0,1,Dark - street lights,Dry,37.7793496,-122.4587454
0,1,Dark - street lights,Dry,37.7796686,-122.4386884
0,1,Daylight,Dry,37.788781,-122.442297
0,1,Daylight,Wet,37.7691868,-122.4079608
0,1,Daylight,Dry,37.779858,-122.4028109
0,1,Daylight,Dry,37.7614277,-122.4261745
0,1,Dark - street lights,Dry,37.7584974,-122.4212866
0,1,Dark - street lights,Wet,37.748209,-122.4181946
0,1,Dark - street lights,Dry,37.76966669999999,-122.449646
0,1,Daylight,Dry,37.786691,-122.44356
0,1,Daylight,Dry,37.7614277,-122.4261745
0,1,Daylight,Dry,37.7729898,-122.4458971
0,1,Daylight,Dry,37.7683372,-122.4192792
0,1,Daylight,Dry,37.7659476,-122.4782445
0,1,Daylight,Dry,37.7764968,-122.4175569
0,1,Daylight,Dry,37.7889922,-122.4406203
0,1,Daylight,Wet,37.7642404,-122.4329683
0,1,Daylight,Dry,37.788781,-122.442297
